video_id,author_name,comment_text,clean_text,comment_date,comment_likes,replies,engagement,log_likes,log_replies,log_engagement,likes_capped,replies_capped,engagement_capped,word_count,char_len,caps_ratio,aggressive_punct,has_caps,has_aggressive_punct,high_caps,emoji_count,has_emoji,candidate_mentioned,video_title,video_url,sentiment_score,sentiment_label,text_for_bertopic,topic,topic_probability
_AkLQ7SIiiQ,@Tyrant1126,"Nu mi mai fac griji. O sa castige, Nicusor, dar o sa avem o divizare in societate cum nu am avut niciodata in istoria noastra! Ne trebuie reforme in educatie sa integram acesti oameni in societatea. Educatie, educatie si iar EDUCATIE!!!!","Nu mi mai fac griji. O sa castige, Nicusor, dar o sa avem o divizare in societate cum nu am avut niciodata in istoria noastra! Ne trebuie reforme in educatie sa integram acesti oameni in societatea. Educatie, educatie si iar EDUCATIE!!!!",2025-05-14 15:26:33+00:00,269,29,298,5.598421958998375,3.4011973816621555,5.700443573390687,269.0,26,294.90999999999985,41,237,0.024390243902439,2,1,1,0,0,0,dan,GEORGE SIMION,https://www.youtube.com/watch?v=_AkLQ7SIiiQ,0.7470237612724304,positive,"griji. castige, nicusor, divizare societate avut niciodata istoria noastra! reforme educatie integram acesti oameni societatea. educatie, educatie educatie!!!!",0,0.4042679094122014
_AkLQ7SIiiQ,@cmmfdl,"Pe mine m-au consumat foarte mult ultimele zile. Nici nu mai am putere sa explic votantilor lui Simion de ce nu o sa il votez. 
Ma sperie foarte tare gandul ca omul acesta poate sa ajunga presedinte.",Pe mine m-au consumat foarte mult ultimele zile. Nici nu mai am putere sa explic votantilor lui Simion de ce nu o sa il votez. Ma sperie foarte tare gandul ca omul acesta poate sa ajunga presedinte.,2025-05-14 13:47:48+00:00,241,12,253,5.488937726156687,2.5649493574615367,5.537334267018537,241.0,12,253.0,37,198,0.0,0,0,0,0,0,0,simion,GEORGE SIMION,https://www.youtube.com/watch?v=_AkLQ7SIiiQ,0.7008518576622009,negative,mine m-au consumat ultimele zile. putere explic votantilor simion votez. sperie tare gandul omul acesta ajunga presedinte.,0,0.6937804660458274
_AkLQ7SIiiQ,@coralianoname4376,Te-ai pregătit mai mult decât s-a pregătit Simion pentru dezbatere,Te-ai pregătit mai mult decât s-a pregătit Simion pentru dezbatere,2025-05-15 00:48:48+00:00,195,5,200,5.278114659230517,1.791759469228055,5.303304908059076,195.0,5,200.0,10,66,0.0,0,0,0,0,0,0,simion,GEORGE SIMION,https://www.youtube.com/watch?v=_AkLQ7SIiiQ,0.5205681920051575,negative,te-ai pregătit decât s-a pregătit simion dezbatere,-1,0.045461966203990505
_AkLQ7SIiiQ,@danvasii9884,"Simion este girueta politică ideală: cum bate vântul, așa se învârte și el... iar când bate vânt puternic împotriva învârtiților, se pliază și dispare strategic, evitând orice confruntare publică la TV","Simion este girueta politică ideală: cum bate vântul, așa se învârte și el... iar când bate vânt puternic împotriva învârtiților, se pliază și dispare strategic, evitând orice confruntare publică la TV",2025-05-14 12:50:23+00:00,70,1,71,4.262679877041316,0.6931471805599453,4.276666119016055,70.0,1,71.0,31,201,0.032258064516129,0,1,0,0,0,0,simion,GEORGE SIMION,https://www.youtube.com/watch?v=_AkLQ7SIiiQ,0.5542645454406738,positive,"simion girueta politică ideală: bate vântul, învârte el... bate vânt puternic împotriva învârtiților, pliază dispare strategic, evitând orice confruntare publică",2,0.10901574546824983
_AkLQ7SIiiQ,@adriann1496,"George Simion este astazi ce a fost Iurie Roşca pentru moldoveni in anii 2000. Un unionist cu steaguri românesti de fațadă , dar defapt el era javra fsb ului.","George Simion este astazi ce a fost Iurie Roşca pentru moldoveni in anii 2000. Un unionist cu steaguri românesti de fațadă , dar defapt el era javra fsb ului.",2025-05-14 12:38:05+00:00,67,8,75,4.219507705176107,2.19722457733622,4.330733340286331,67.0,8,75.0,29,158,0.0,0,0,0,0,0,0,simion,GEORGE SIMION,https://www.youtube.com/watch?v=_AkLQ7SIiiQ,0.5147004723548889,negative,george simion astazi iurie roşca moldoveni anii 2000. unionist steaguri românesti fațadă defapt era javra fsb ului.,-1,0.0005253809633591102
_AkLQ7SIiiQ,@urmfhlfh,"Decât un om care se poartă după cum bate vântul, mai sigur votăm Nicușor.","Decât un om care se poartă după cum bate vântul, mai sigur votăm Nicușor.",2025-05-14 14:34:56+00:00,57,1,58,4.060443010546419,0.6931471805599453,4.07753744390572,57.0,1,58.0,14,73,0.0,0,0,0,0,0,0,dan,GEORGE SIMION,https://www.youtube.com/watch?v=_AkLQ7SIiiQ,0.8580722808837891,negative,"decât poartă după bate vântul, sigur votăm nicușor.",1,0.19312901350104694
_AkLQ7SIiiQ,@gabrieladoe5511,"Multumesc pentru documentare! Fiind parte din diaspora, nu imi doresc case fictive de €1... probabil ca nici nu o sa ma intorc; dar, ca cetatean roman, vreau sa am optiunea de a ma intoarce acasa si sa fie din ce in ce mai bine... vreau ca familia si prietenii mei din Romania sa fie bine. George Simion are un caracter duplicitar (sunt amabila, aici), golenesc, las, agresiv - dovedit. Nu inteleg spalarea asta pe creier, cand sunt dovezi clare. Avem de ales dintre 2 oameni, ""vrem, nu vrem"", iar Simion ar trebui sa fie evident incadrat la ""nu vrem"".","Multumesc pentru documentare! Fiind parte din diaspora, nu imi doresc case fictive de €1... probabil ca nici nu o sa ma intorc; dar, ca cetatean roman, vreau sa am optiunea de a ma intoarce acasa si sa fie din ce in ce mai bine... vreau ca familia si prietenii mei din Romania sa fie bine. George Simion are un caracter duplicitar (sunt amabila, aici), golenesc, las, agresiv - dovedit. Nu inteleg spalarea asta pe creier, cand sunt dovezi clare. Avem de ales dintre 2 oameni, ""vrem, nu vrem"", iar Simion ar trebui sa fie evident incadrat la ""nu vrem"".",2025-05-14 20:52:54+00:00,41,0,41,3.737669618283368,0.0,3.737669618283368,41.0,0,41.0,99,552,0.0,1,0,1,0,0,0,simion,GEORGE SIMION,https://www.youtube.com/watch?v=_AkLQ7SIiiQ,0.6979866623878479,positive,"multumesc documentare! parte diaspora, imi doresc case fictive €1... probabil intorc; dar, cetatean roman, optiunea intoarce acasa fie bine... familia prietenii romania fie bine. george simion caracter duplicitar (sunt amabila, aici), golenesc, las, agresiv dovedit. inteleg spalarea asta creier, cand dovezi clare. ales dintre oameni, ""vrem, vrem"", simion fie evident incadrat ""nu vrem"".",0,0.6631590963212133
_AkLQ7SIiiQ,@Alex-yg7nw,Simion George este presedintele soboloanilor!,Simion George este presedintele soboloanilor!,2025-05-14 12:12:08+00:00,38,0,38,3.6635616461296463,0.0,3.6635616461296463,38.0,0,38.0,5,45,0.0,1,0,1,0,0,0,simion,GEORGE SIMION,https://www.youtube.com/watch?v=_AkLQ7SIiiQ,0.9239159226417542,negative,simion george presedintele soboloanilor!,0,0.6186393743164024
_AkLQ7SIiiQ,@antoniapopa946,"Sunt o persoană de etnie maghiară și, cu respect pentru etnia mea, nu aș vota niciodată în viața asta cu Simion. Cu omul care a injurat maghiarii și toate etniile din România. De fiecare dată când aud în Arad că oameni de etnie votează Simion, îmi pierd speranța! Bravo Silviu pentru acest material! Sperăm să își deschidă lumea ochii! 🫶🏻🙏🏼 pace tuturor!","Sunt o persoană de etnie maghiară și, cu respect pentru etnia mea, nu aș vota niciodată în viața asta cu Simion. Cu omul care a injurat maghiarii și toate etniile din România. De fiecare dată când aud în Arad că oameni de etnie votează Simion, îmi pierd speranța! Bravo Silviu pentru acest material! Sperăm să își deschidă lumea ochii! 🫶🏻🙏🏼 pace tuturor!",2025-05-15 15:26:38+00:00,37,5,42,3.6375861597263857,1.791759469228055,3.7612001156935615,37.0,5,42.0,62,354,0.0,4,0,1,0,1,1,simion,GEORGE SIMION,https://www.youtube.com/watch?v=_AkLQ7SIiiQ,0.5721389651298523,positive,"persoană etnie maghiară și, respect etnia mea, vota niciodată viața asta simion. omul injurat maghiarii etniile românia. dată aud arad oameni etnie votează simion, pierd speranța! bravo silviu material! sperăm deschidă lumea ochii! 🫶🏻🙏🏼 pace tuturor!",-1,0.19767202607156323
_AkLQ7SIiiQ,@neneasandu,1 like = 1 tona de branza imputita pentru simion,1 like = 1 tona de branza imputita pentru simion,2025-05-14 12:20:53+00:00,26,0,26,3.295836866004329,0.0,3.295836866004329,26.0,0,26.0,10,48,0.0,0,0,0,0,0,0,simion,GEORGE SIMION,https://www.youtube.com/watch?v=_AkLQ7SIiiQ,0.9515677094459534,negative,like tona branza imputita simion,0,0.3015231120869919
